,ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Facing,Availability_Status
5072,5073,Karnataka,Bangalore,South-West,Apartment,3,4124,419.25,0.1,2014,Unfurnished,8,20,11,9,2,East,Ready_to_Move
5201,5202,Karnataka,Bangalore,East,Villa,5,4662,403.53,0.09,2010,Semi-furnished,14,14,15,10,8,South,Under_Construction
5462,5463,Karnataka,Bangalore,North,Villa,5,3594,36.38,0.01,2011,Semi-furnished,12,20,14,10,8,West,Under_Construction
5484,5485,Karnataka,Bangalore,Central,Apartment,4,4067,273.5,0.07,1996,Furnished,19,16,29,2,4,South,Under_Construction
5504,5505,Karnataka,Bangalore,South,Apartment,1,3844,209.52,0.05,1990,Unfurnished,11,16,35,4,5,North,Under_Construction
5538,5539,Karnataka,Bangalore,West,Villa,4,4811,323.23,0.07,1995,Furnished,12,7,30,5,4,North,Under_Construction
5627,5628,Karnataka,Bangalore,East,Apartment,1,4269,247.86,0.06,1994,Unfurnished,23,7,31,6,8,East,Ready_to_Move
5633,5634,Karnataka,Bangalore,East,Villa,5,1627,423.38,0.26,2020,Furnished,24,14,5,8,9,North,Ready_to_Move
5641,5642,Karnataka,Bangalore,South-East,Villa,5,692,277.91,0.4,2002,Semi-furnished,12,8,23,9,2,South,Ready_to_Move
5651,5652,Karnataka,Bangalore,North,Apartment,2,862,485.32,0.56,2020,Unfurnished,29,11,5,3,3,East,Under_Construction
5656,5657,Karnataka,Bangalore,West,Independent House,2,2633,236.21,0.09,1997,Semi-furnished,26,18,28,10,8,East,Under_Construction
5660,5661,Karnataka,Bangalore,South-West,Independent House,5,2934,45.75,0.02,2018,Semi-furnished,26,11,7,7,9,East,Under_Construction
5738,5739,Karnataka,Bangalore,North,Apartment,4,640,228.42,0.36,2021,Unfurnished,10,8,4,9,3,East,Ready_to_Move
5778,5779,Karnataka,Bangalore,South,Apartment,2,1866,116.21,0.06,2013,Semi-furnished,0,18,12,2,5,North,Under_Construction
5896,5897,Karnataka,Bangalore,South,Apartment,1,1571,321.93,0.2,2020,Unfurnished,16,26,5,5,2,East,Ready_to_Move
5938,5939,Karnataka,Bangalore,East,Villa,2,2940,203.64,0.07,2007,Semi-furnished,16,12,18,5,9,South,Under_Construction
6054,6055,Karnataka,Bangalore,Central,Villa,1,3421,334.61,0.1,2007,Unfurnished,1,18,18,8,1,North,Ready_to_Move
6064,6065,Karnataka,Bangalore,East,Villa,3,1770,219.71,0.12,2014,Semi-furnished,10,16,11,8,1,East,Under_Construction
6120,6121,Karnataka,Bangalore,North-East,Independent House,3,3551,168.05,0.05,2023,Furnished,21,14,2,10,10,East,Under_Construction
6128,6129,Karnataka,Bangalore,Central,Villa,1,3771,157.41,0.04,2004,Furnished,23,14,21,1,8,East,Ready_to_Move
6166,6167,Karnataka,Bangalore,South-East,Villa,3,1582,207.79,0.13,1993,Semi-furnished,29,1,32,8,6,West,Under_Construction
6169,6170,Karnataka,Bangalore,North-East,Independent House,5,1520,366.45,0.24,2001,Unfurnished,13,22,24,10,9,West,Ready_to_Move
6193,6194,Karnataka,Bangalore,East,Villa,5,3627,342.24,0.09,2010,Unfurnished,10,25,15,1,4,North,Under_Construction
6252,6253,Karnataka,Bangalore,East,Independent House,4,1772,406.18,0.23,2016,Furnished,2,19,9,8,6,West,Ready_to_Move
6281,6282,Karnataka,Bangalore,South-West,Apartment,3,1298,248.67,0.19,2002,Furnished,7,20,23,3,4,West,Ready_to_Move
6290,6291,Karnataka,Bangalore,North,Villa,4,3325,134.37,0.04,2013,Semi-furnished,2,14,12,1,3,East,Under_Construction
6318,6319,Karnataka,Bangalore,East,Independent House,4,1950,495.01,0.25,1994,Unfurnished,4,9,31,6,5,North,Ready_to_Move
6365,6366,Karnataka,Bangalore,Central,Independent House,5,2734,262.22,0.1,1993,Furnished,8,29,32,10,6,East,Under_Construction
6409,6410,Karnataka,Bangalore,South-West,Independent House,5,3061,448.65,0.15,2019,Unfurnished,16,10,6,2,1,North,Under_Construction
6413,6414,Karnataka,Bangalore,North-East,Villa,1,3106,186.94,0.06,2003,Furnished,30,28,22,6,1,North,Under_Construction
6518,6519,Karnataka,Bangalore,West,Independent House,2,4158,66.93,0.02,2022,Semi-furnished,0,30,3,7,2,East,Under_Construction
6549,6550,Karnataka,Bangalore,West,Independent House,4,4377,375.85,0.09,2014,Unfurnished,20,13,11,2,10,North,Ready_to_Move
6618,6619,Karnataka,Bangalore,East,Villa,2,3621,172.2,0.05,2007,Unfurnished,7,10,18,10,8,North,Under_Construction
6668,6669,Karnataka,Bangalore,East,Apartment,5,1735,104.52,0.06,1997,Semi-furnished,26,20,28,1,6,South,Under_Construction
6714,6715,Karnataka,Bangalore,West,Independent House,4,3444,19.55,0.01,1991,Unfurnished,27,9,34,5,1,West,Ready_to_Move
6739,6740,Karnataka,Bangalore,East,Villa,3,2042,371.33,0.18,2006,Furnished,12,2,19,8,9,North,Ready_to_Move
6806,6807,Karnataka,Bangalore,South-West,Independent House,5,4726,220.65,0.05,2013,Semi-furnished,2,14,12,1,8,East,Ready_to_Move
6842,6843,Karnataka,Bangalore,West,Villa,3,3722,268.23,0.07,2009,Furnished,26,2,16,9,3,East,Ready_to_Move
6868,6869,Karnataka,Bangalore,West,Villa,1,4045,273.94,0.07,2009,Furnished,29,19,16,4,3,South,Ready_to_Move
6905,6906,Karnataka,Bangalore,West,Villa,5,3687,148.14,0.04,2013,Semi-furnished,5,27,12,7,9,East,Under_Construction
6920,6921,Karnataka,Bangalore,West,Villa,2,3298,331.05,0.1,2016,Semi-furnished,19,1,9,10,8,West,Under_Construction
6973,6974,Karnataka,Bangalore,South,Apartment,1,4869,56.8,0.01,2003,Unfurnished,4,5,22,1,3,East,Under_Construction
7033,7034,Karnataka,Bangalore,North,Independent House,2,1481,444.12,0.3,1991,Furnished,1,20,34,9,1,South,Under_Construction
7044,7045,Karnataka,Bangalore,Central,Independent House,4,2726,155.13,0.06,2004,Furnished,7,3,21,5,4,East,Ready_to_Move
7134,7135,Karnataka,Bangalore,North-East,Apartment,1,2897,305.77,0.11,2016,Unfurnished,30,20,9,9,1,East,Under_Construction
7138,7139,Karnataka,Bangalore,North,Villa,2,4511,358.09,0.08,2017,Unfurnished,15,17,8,8,6,East,Under_Construction
7307,7308,Karnataka,Bangalore,Central,Apartment,4,683,219.11,0.32,1996,Unfurnished,6,18,29,4,8,West,Ready_to_Move
7640,7641,Karnataka,Bangalore,East,Independent House,2,598,473.44,0.79,2016,Semi-furnished,27,30,9,10,3,North,Under_Construction
7737,7738,Karnataka,Bangalore,North,Independent House,2,3492,487.97,0.14,1997,Semi-furnished,28,29,28,7,1,West,Ready_to_Move
7779,7780,Karnataka,Bangalore,North,Villa,2,553,175.4,0.32,2004,Unfurnished,26,22,21,5,7,East,Under_Construction
7782,7783,Karnataka,Bangalore,North,Villa,1,4351,208.14,0.05,2012,Furnished,18,19,13,8,6,North,Ready_to_Move
7811,7812,Karnataka,Bangalore,Central,Independent House,2,4393,213.52,0.05,2013,Semi-furnished,7,12,12,3,3,North,Under_Construction
7942,7943,Karnataka,Bangalore,Central,Apartment,3,3374,32.73,0.01,2020,Unfurnished,3,17,5,8,9,East,Under_Construction
7983,7984,Karnataka,Bangalore,South,Independent House,5,1689,238.31,0.14,2005,Unfurnished,20,10,20,8,8,West,Under_Construction
8046,8047,Karnataka,Bangalore,South-West,Villa,3,1442,33.9,0.02,2006,Furnished,12,9,19,7,9,West,Under_Construction
8152,8153,Karnataka,Bangalore,East,Independent House,4,984,458.34,0.47,1999,Unfurnished,16,23,26,3,6,North,Under_Construction
8171,8172,Karnataka,Bangalore,Central,Independent House,3,4442,337.51,0.08,1999,Furnished,22,15,26,6,4,South,Under_Construction
8208,8209,Karnataka,Bangalore,East,Independent House,5,2209,472.8,0.21,1990,Semi-furnished,3,2,35,6,6,South,Ready_to_Move
8211,8212,Karnataka,Bangalore,South,Independent House,4,736,162.1,0.22,2012,Unfurnished,21,13,13,6,3,South,Ready_to_Move
8222,8223,Karnataka,Bangalore,Central,Independent House,3,4460,414.96,0.09,2004,Unfurnished,16,12,21,2,7,West,Ready_to_Move
8279,8280,Karnataka,Bangalore,South-East,Villa,3,2867,408.84,0.14,1999,Furnished,4,16,26,4,5,West,Ready_to_Move
8282,8283,Karnataka,Bangalore,South,Independent House,1,2099,241.29,0.11,1995,Unfurnished,16,29,30,2,10,South,Ready_to_Move
8377,8378,Karnataka,Bangalore,Central,Independent House,4,2388,157.0,0.07,2013,Unfurnished,18,21,12,5,9,North,Under_Construction
8471,8472,Karnataka,Bangalore,West,Independent House,2,3558,156.26,0.04,1990,Furnished,23,7,35,5,6,South,Ready_to_Move
8527,8528,Karnataka,Bangalore,West,Independent House,2,4728,131.59,0.03,1993,Semi-furnished,14,15,32,4,10,North,Ready_to_Move
8535,8536,Karnataka,Bangalore,South,Independent House,1,2625,34.89,0.01,2004,Semi-furnished,22,5,21,2,8,West,Ready_to_Move
8565,8566,Karnataka,Bangalore,South-East,Independent House,4,538,196.48,0.37,2002,Semi-furnished,24,29,23,1,2,South,Ready_to_Move
8622,8623,Karnataka,Bangalore,South,Independent House,4,4084,198.63,0.05,2018,Semi-furnished,24,20,7,9,8,South,Ready_to_Move
8627,8628,Karnataka,Bangalore,South-West,Apartment,2,3705,165.06,0.04,2006,Furnished,2,13,19,5,8,West,Ready_to_Move
8679,8680,Karnataka,Bangalore,South,Independent House,1,2494,464.12,0.19,1990,Semi-furnished,4,9,35,2,3,North,Under_Construction
8836,8837,Karnataka,Bangalore,South-West,Independent House,3,3638,366.05,0.1,2019,Furnished,22,22,6,7,8,West,Under_Construction
8889,8890,Karnataka,Bangalore,South-West,Apartment,4,3760,192.69,0.05,2017,Furnished,5,18,8,6,10,North,Under_Construction
8946,8947,Karnataka,Bangalore,South-West,Independent House,3,2151,178.25,0.08,2007,Unfurnished,23,14,18,8,2,East,Ready_to_Move
9075,9076,Karnataka,Bangalore,South,Independent House,1,2879,228.89,0.08,2017,Semi-furnished,1,28,8,1,1,North,Under_Construction
9088,9089,Karnataka,Bangalore,South-West,Apartment,3,3686,108.24,0.03,2013,Furnished,30,29,12,5,4,East,Ready_to_Move
9123,9124,Karnataka,Bangalore,Central,Independent House,4,2445,392.67,0.16,2015,Unfurnished,29,28,10,6,6,West,Ready_to_Move
9136,9137,Karnataka,Bangalore,South-West,Independent House,5,3027,48.65,0.02,1991,Semi-furnished,25,26,34,10,2,North,Ready_to_Move
9152,9153,Karnataka,Bangalore,Central,Independent House,1,4421,71.4,0.02,1995,Semi-furnished,29,9,30,6,3,West,Under_Construction
9196,9197,Karnataka,Bangalore,West,Apartment,1,764,241.88,0.32,2005,Semi-furnished,12,16,20,8,9,East,Ready_to_Move
9197,9198,Karnataka,Bangalore,South,Villa,5,4869,210.45,0.04,1998,Unfurnished,23,28,27,6,4,South,Ready_to_Move
9246,9247,Karnataka,Bangalore,South-West,Apartment,3,1207,459.42,0.38,2006,Furnished,29,25,19,6,7,South,Under_Construction
9276,9277,Karnataka,Bangalore,North,Villa,3,4809,77.1,0.02,1992,Semi-furnished,23,23,33,9,3,South,Ready_to_Move
9331,9332,Karnataka,Bangalore,West,Villa,2,4681,451.01,0.1,1994,Furnished,23,30,31,1,7,North,Ready_to_Move
9513,9514,Karnataka,Bangalore,South,Villa,4,1433,111.82,0.08,2005,Furnished,28,10,20,10,7,West,Under_Construction
9528,9529,Karnataka,Bangalore,East,Independent House,4,2347,495.62,0.21,2004,Unfurnished,30,6,21,4,3,West,Ready_to_Move
9627,9628,Karnataka,Bangalore,East,Villa,1,4845,470.47,0.1,2013,Unfurnished,0,4,12,8,5,North,Under_Construction
9667,9668,Karnataka,Bangalore,South,Apartment,3,1412,107.26,0.08,1993,Unfurnished,24,28,32,2,6,West,Under_Construction
9673,9674,Karnataka,Bangalore,North,Independent House,4,2499,121.5,0.05,2017,Furnished,8,3,8,4,5,North,Under_Construction
9695,9696,Karnataka,Bangalore,North,Independent House,2,511,141.28,0.28,2003,Semi-furnished,11,4,22,4,1,East,Under_Construction
9770,9771,Karnataka,Bangalore,South-West,Villa,4,724,423.49,0.58,1995,Furnished,3,20,30,6,2,North,Ready_to_Move
9982,9983,Karnataka,Bangalore,South-East,Apartment,4,1926,181.2,0.09,2011,Furnished,19,23,14,10,5,East,Under_Construction
10006,10007,Karnataka,Bangalore,East,Independent House,1,3572,364.19,0.1,1995,Furnished,17,18,30,7,8,North,Under_Construction
10058,10059,Karnataka,Bangalore,South,Villa,4,1747,123.55,0.07,2018,Semi-furnished,29,28,7,5,1,North,Under_Construction
10079,10080,Karnataka,Bangalore,North,Apartment,1,2554,328.84,0.13,2003,Unfurnished,26,26,22,2,1,East,Ready_to_Move
10169,10170,Karnataka,Bangalore,South-West,Independent House,4,2479,101.31,0.04,2017,Furnished,14,4,8,2,4,East,Under_Construction
10187,10188,Karnataka,Bangalore,South-West,Apartment,5,1684,447.73,0.27,1996,Unfurnished,2,23,29,4,7,East,Under_Construction
10234,10235,Karnataka,Bangalore,South-East,Independent House,5,4625,431.18,0.09,2015,Unfurnished,11,17,10,6,4,North,Under_Construction
10349,10350,Karnataka,Bangalore,South-East,Villa,5,2240,170.34,0.08,2021,Unfurnished,13,20,4,6,9,South,Ready_to_Move
10455,10456,Karnataka,Bangalore,South-East,Independent House,4,3119,447.5,0.14,2017,Unfurnished,23,8,8,6,6,North,Under_Construction
10508,10509,Karnataka,Bangalore,South,Independent House,5,1882,453.31,0.24,1993,Furnished,9,28,32,2,6,South,Under_Construction
10520,10521,Karnataka,Bangalore,North-East,Apartment,4,2194,464.71,0.21,1995,Unfurnished,10,16,30,5,6,East,Under_Construction
10543,10544,Karnataka,Bangalore,South-East,Apartment,1,1302,120.5,0.09,2013,Unfurnished,18,2,12,1,6,North,Under_Construction
10665,10666,Karnataka,Bangalore,Central,Apartment,2,1735,164.52,0.09,1994,Semi-furnished,9,17,31,2,2,East,Under_Construction
10674,10675,Karnataka,Bangalore,South-East,Independent House,3,583,265.36,0.46,2014,Semi-furnished,25,11,11,8,7,North,Under_Construction
10684,10685,Karnataka,Bangalore,North-East,Independent House,2,1288,396.7,0.31,2007,Unfurnished,1,21,18,5,7,East,Ready_to_Move
10701,10702,Karnataka,Bangalore,South-East,Apartment,3,4833,480.32,0.1,2011,Unfurnished,17,1,14,10,10,South,Ready_to_Move
10738,10739,Karnataka,Bangalore,Central,Apartment,1,835,486.19,0.58,2019,Semi-furnished,19,19,6,10,4,North,Ready_to_Move
10778,10779,Karnataka,Bangalore,South-East,Apartment,2,4674,109.15,0.02,2014,Furnished,0,9,11,7,9,North,Ready_to_Move
10819,10820,Karnataka,Bangalore,East,Villa,4,2640,157.93,0.06,1990,Unfurnished,24,4,35,9,2,East,Ready_to_Move
10908,10909,Karnataka,Bangalore,South-East,Independent House,3,4310,468.5,0.11,2014,Furnished,2,30,11,9,3,North,Ready_to_Move
10932,10933,Karnataka,Bangalore,North-East,Apartment,4,1052,494.1,0.47,2000,Semi-furnished,14,30,25,8,1,West,Ready_to_Move
11101,11102,Karnataka,Bangalore,North-East,Independent House,2,3259,399.96,0.12,1994,Furnished,17,27,31,7,4,East,Under_Construction
11164,11165,Karnataka,Bangalore,South-West,Apartment,1,3151,286.12,0.09,2014,Furnished,9,22,11,6,2,East,Under_Construction
11170,11171,Karnataka,Bangalore,South,Villa,5,2709,104.51,0.04,1994,Unfurnished,1,25,31,8,5,North,Under_Construction
11174,11175,Karnataka,Bangalore,South,Villa,5,1313,422.22,0.32,2014,Furnished,28,9,11,2,10,East,Under_Construction
11331,11332,Karnataka,Bangalore,South-West,Apartment,4,937,336.18,0.36,2009,Semi-furnished,29,12,16,1,3,West,Ready_to_Move
11334,11335,Karnataka,Bangalore,East,Villa,4,4829,284.28,0.06,1995,Furnished,0,2,30,7,6,North,Under_Construction
11464,11465,Karnataka,Bangalore,South-East,Apartment,4,3446,428.27,0.12,2019,Semi-furnished,30,3,6,8,4,East,Ready_to_Move
11729,11730,Karnataka,Bangalore,North-East,Villa,3,4987,301.71,0.06,1998,Semi-furnished,22,5,27,4,9,West,Under_Construction
11757,11758,Karnataka,Bangalore,East,Independent House,5,2867,456.36,0.16,1994,Unfurnished,24,25,31,2,9,North,Ready_to_Move
11774,11775,Karnataka,Bangalore,North-East,Independent House,1,3649,483.84,0.13,1996,Unfurnished,27,14,29,7,10,East,Ready_to_Move
11785,11786,Karnataka,Bangalore,South-East,Apartment,5,4610,460.18,0.1,2002,Semi-furnished,28,14,23,3,2,West,Under_Construction
